Date,Time,BPM
2020-06-27,21:18:42,83
2020-06-27,21:18:43,81
2020-06-27,21:18:44,82
2020-06-27,21:18:45,84
2020-06-27,21:18:45,81
2020-06-27,21:18:46,80
2020-06-27,21:18:47,84
2020-06-27,21:18:48,83
2020-06-27,21:18:48,80
2020-06-27,21:18:49,78
2020-06-27,21:18:50,83
2020-06-27,21:18:50,86
2020-06-27,21:18:51,83
2020-06-27,21:18:52,81
2020-06-27,21:18:53,86
2020-06-27,21:18:53,87
2020-06-27,21:18:54,85
2020-06-27,21:18:55,81
2020-06-27,21:18:56,83
2020-06-27,21:18:56,76
2020-06-27,21:18:57,77
2020-06-27,21:18:58,84
2020-06-27,21:18:59,83
2020-06-27,21:19:12,91
2020-06-27,21:19:13,90
2020-06-28,01:45:38,75
2020-06-28,01:45:38,73
2020-06-28,01:45:39,78
2020-06-28,01:45:40,76
2020-06-28,01:45:41,67
2020-06-28,01:45:42,64
2020-06-28,01:45:43,75
2020-06-28,01:45:43,79
2020-06-28,01:45:44,80
2020-06-28,01:45:45,71
2020-06-28,01:45:46,69
2020-06-28,01:45:47,76
2020-06-28,01:45:48,68
2020-06-28,01:45:48,72
2020-06-28,01:45:49,70
2020-06-28,01:45:50,70
2020-06-28,01:45:51,75
2020-06-28,01:45:52,78
2020-06-28,01:45:52,79
2020-06-28,01:45:53,79
2020-06-28,01:45:54,82
2020-06-28,01:46:00,76
2020-06-28,01:46:01,77
2020-06-28,01:46:02,75
2020-06-28,01:46:02,79
2020-06-28,01:46:03,72
2020-06-28,01:46:04,69
2020-06-28,01:46:05,70
2020-06-28,01:46:06,74
2020-06-28,01:46:07,73
2020-06-28,01:46:07,75
2020-06-28,01:46:08,76
2020-06-28,01:46:09,71
2020-06-28,01:46:10,76
2020-06-28,01:46:11,73
2020-06-28,01:46:11,74
2020-06-28,01:46:12,71
2020-06-28,01:46:13,70
2020-06-28,01:46:14,68
2020-06-28,01:46:21,75
2020-06-28,01:46:23,66
2020-06-28,01:46:30,81
2020-06-28,01:46:30,75
2020-06-28,01:46:31,67
2020-06-28,01:46:32,75
2020-06-30,17:21:35,76
2020-06-30,17:21:43,71
2020-06-30,17:21:44,76
2020-06-30,17:21:44,79
2020-06-30,17:21:45,73
2020-06-30,17:21:46,66
2020-06-30,17:21:47,75
2020-06-30,17:21:48,75
2020-06-30,17:21:48,71
2020-06-30,17:21:49,69
2020-06-30,17:21:50,78
2020-06-30,17:21:51,78
2020-06-30,17:21:52,73
2020-06-30,17:21:53,63
2020-06-30,17:21:54,71
2020-06-30,17:21:54,71
2020-06-30,17:21:55,68
2020-06-30,17:21:56,72
2020-06-30,22:08:43,67
2020-06-30,22:08:44,73
2020-06-30,22:08:44,77
2020-06-30,22:08:45,71
2020-06-30,22:08:46,67
2020-06-30,22:08:47,70
2020-06-30,22:08:48,78
2020-06-30,22:08:48,76
2020-06-30,22:08:49,68
2020-06-30,22:08:50,67
2020-06-30,22:08:51,70
2020-06-30,22:08:52,68
2020-06-30,22:08:53,69
2020-06-30,22:08:54,77
2020-06-30,22:08:54,75
2020-06-30,22:08:55,66
2020-06-30,22:08:56,65
2020-06-30,22:08:57,65
2020-06-30,22:08:58,67
2020-06-30,22:08:59,80
2020-06-30,22:09:00,86
2020-06-30,22:09:00,84
2020-06-30,22:09:01,80
2020-06-30,22:09:02,80
2020-06-30,22:09:02,83
2020-06-30,22:09:03,74
2020-06-30,22:09:04,64
2020-06-30,22:09:05,73
2020-06-30,22:09:06,78
2020-06-30,22:09:07,71
2020-06-30,23:18:14,68
2020-06-30,23:18:15,78
2020-06-30,23:18:15,74
2020-06-30,23:18:16,66
2020-06-30,23:18:17,59
2020-06-30,23:18:18,66
2020-06-30,23:18:19,74
2020-06-30,23:18:20,66
2020-06-30,23:18:21,64
2020-06-30,23:18:22,73
2020-06-30,23:18:22,71
2020-06-30,23:18:23,63
2020-06-30,23:18:24,61
2020-06-30,23:18:25,66
2020-06-30,23:18:26,61
2020-06-30,23:18:27,59
2020-06-30,23:18:28,69
2020-06-30,23:18:29,75
2020-06-30,23:18:30,73
2020-06-30,23:18:31,69
2020-06-30,23:18:32,69
2020-06-30,23:18:32,71
2020-06-30,23:18:33,62
2020-06-30,23:18:34,58
2020-06-30,23:18:35,61
2020-06-30,23:18:36,71
2020-06-30,23:18:37,68
2020-06-30,23:18:38,66
2020-06-30,23:18:39,70
2020-06-30,23:18:40,72
2020-06-30,23:18:41,64
2020-06-30,23:18:42,62
2020-06-30,23:18:42,71
2020-06-30,23:18:43,68
2020-06-30,23:18:44,68
2020-06-30,23:18:45,69
